Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.7830420116528672,0.782704267829528,0.7830420116528672,0.7828267191237176,0.905509568394851
LightGBM,0.7318307267709292,0.7334251039551793,0.7318307267709292,0.7319033232566944,0.8736326433439068
XGBoost,0.7539865072063784,0.7542215006217147,0.7539865072063784,0.7538153671064389,0.8865303098867137
